order,category,year,title,title_url,authors,venue,code_label,code_url,visible
20,Journal,2022,Analytical Pricing Formulae for Vulnerable Vanilla and Barrier Options,https://link.springer.com/article/10.1007/s11156-021-00990-5,"Liang-Chih Liu, Chun-Yuan Chiu, Chuan-Ju Wang, Tian-Shyr Dai, Hao-Han Chang","Review of Quantitative Finance and Accounting, 58, 137-170 (2022)",,,TRUE
21,Journal,2018,An Accurate Lattice Model for Pricing Catastrophe Equity Put Under the Jump-Diffusion Process,https://ieeexplore.ieee.org/document/8492370,"Chuan-Ju Wang, Tian-Shyr Dai","IEEE Computational Intelligence Magazine, 13 (2018), 35-45",,,TRUE
22,Journal,2017,A Modified Reduced-Form Model with Time-Varying Default and Recovery Rates and its Applications in Pricing Convertible Bonds,https://www.researchgate.net/publication/317137887_A_Modified_Reduced-Form_Model_with_Time-Varying_Default_and_Recovery_Rates_and_Its_Applications_in_Pricing_Convertible_Bonds,"Jr-Yan Wang, Tian-Shyr Dai","Journal of Derivatives, 24 (2017), 52-79",,,TRUE
23,Journal,2016,Evaluating Corporate Bonds and Analyzing Claim Holders' Decisions with Complex Debt Structure,http://www.sciencedirect.com/science/article/pii/S0378426616300784,"Liang-Chih Liu, Tian-Shyr Dai, Chuan-Ju Wang","Journal of Banking and Finance, 72 (2016), 151-174",,,TRUE
24,Journal,2015,"Pricing guaranteed minimum/lifetime withdrawal benefits with various provisions under investment, interest rate and mortality risks",http://www.sciencedirect.com/science/article/pii/S0167668715000669,"Tian-Shyr Dai, Sharon S. Yang, Liang-Chih Liu","Insurance: Mathematics and Economics, 64 (2015), 364-375",,,TRUE
25,Journal,2015,Pricing Asian Option by the FFT with Higher-Order Error Convergence Rate under Levy Processes,http://www.sciencedirect.com/science/article/pii/S0096300314016476,"Chun-Yuan Chiu, Tian-Shyr Dai, Yuh-Dauh Lyuu","Applied Mathematics and Computation, 252 (2015), 418-437",,,TRUE
26,Journal,2014,Evaluating Corporate Bonds with Complicated Liability Structures and Bond Provisions,http://www.sciencedirect.com/science/article/pii/S0377221714001398,"Chuan-Ju Wang, Tian-Shyr Dai, Yuh-Dauh Lyuu","European Journal of Operational Research, 237 (2014), 749-757",,,TRUE
27,Journal,2014,Pricing barrier stock options with discrete dividends by approximating analytical formulae,http://www.tandfonline.com/doi/full/10.1080/14697688.2013.853319,"Tian-Shyr Dai, Chun-Yuan Chiu","Quantitative Finance, 14 (2014), 1367-1382",,,TRUE
28,Journal,2013,Realized Tax Benefits and Capital Structure,Paper/IJBD.pdf,"Tian-Shyr Dai, Chuan-Ju Wang","International Journal of Bonds and Currency Derivatives, 1 (2013), 88-109",,,TRUE
29,Journal,2013,A Flexible Tree for Evaluating Guaranteed Minimum Withdrawal Benefits under Deferred Life Annuity Contracts with Various Provisions,http://www.sciencedirect.com/science/article/pii/S0167668712001710,"Sharon S. Yang, Tian-Shyr Dai","Insurance: Mathematics and Economics, 52 (2013), 231-242",,,TRUE
30,Journal,2013,"A Multi-Phase, Flexible, and Accurate Lattice for Pricing Complex Derivatives with Multiple Market Variables",Paper/20120422.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu, Chuan-Ju Wang, Yen-Chun Liu","Journal of Futures Markets, 33(9), 795-826 (2013)",,,TRUE
31,Journal,2013,"Outperformance Certificates: Analysis, Pricing, Interpretation, and Performance",Paper/RQFA2012.pdf,"Rodrigo Hernandez, Wayne Lee, Pu Liu, Tian-Shyr Dai","Review of Quantitative Finance and Accounting, 40(4), 691-713 (2013)",,,TRUE
32,Journal,2010,An Efficient and Accurate Lattice for Pricing Derivatives under a Jump-diffusion Process,Paper/JumpTree.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu, Chuan-Ju Wang, Yen-Chun Liu","Applied Mathematics and Computation, 217 (2010), 3174-3189",,,TRUE
33,Journal,2011,A Reliable Fingerprint Orientation Estimation Algorithm,Paper/JISE201101_22.pdf,"Limin Liu, Tian-Shyr Dai","Journal of Information Science and Engineering, 27 (2011), 353-368",,,TRUE
34,Journal,2010,The Bino-Trinomial Tree: A Simple Model for Efficient and Accurate Option Pricing,Paper/AC990330.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu","Journal of Derivatives, 17 (2010), 7-24",,,TRUE
35,Journal,2009,Using the LIBOR Market Model to Price the Interest Rate Derivatives: A Recombining Binomial Tree Methodology,Paper/LMMTree.pdf,"Tian-Shyr Dai, Hui-Ming Chung, Chun-Ju Ho","NTU Management Review, 20 (2009), 41-68",,,TRUE
36,Journal,2009,A Hybrid Importance Sampling Algorithm for Estimating VaR Under the Jump Diffusion Model,Paper/JSEA.pdf,"Tian-Shyr Dai, Limin Liu","Journal of Software Engineering and Applications, 2 (2009), 301-307",,,TRUE
37,Journal,2009,Efficient Option Pricing on Stocks Paying Discrete or Path-Dependent Dividends with the Stair Tree,Paper/QF971112.pdf,Tian-Shyr Dai,"Quantitative Finance, 9(7), 827-838 (2009)",,,TRUE
38,Journal,2009,Accurate and Efficient Lattice Algorithms for American-Style Asian Options with Range Bounds,Paper/RangeBound.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu","Applied Mathematics and Computation, 209 (2009), 238-253",,,TRUE
39,Journal,2008,Pricing Snowball Notes with Hull-White Model and Quadrature Methods,Paper/Snowball.doc,"Tian-Shyr Dai, Kuan-Lun Wang, Tzu Tai","Journal of Futures and Options, 1 (2008), 73-108",,,TRUE
40,Journal,2008,Adaptive Placement Method on Pricing Arithmetic Average Options,Paper/REDR43R1.pdf,"Tian-Shyr Dai, Jr-Yan Wang, Hui-Shan Wei","Review of Derivatives Research, 11 (2008), 83-118",,,TRUE
41,Journal,2008,Linear-Time Option Pricing Algorithms by Combinatorics,Paper/CompMathApp950901.pdf,"Tian-Shyr Dai, Limin Liu, Yuh-Dauh Lyuu","Computers and Mathematics with Applications, 55 (2008), 2142-2157",,,TRUE
42,Journal,2009,Accurate Approximation Formulas for Stock Options with Discrete Dividends,Paper/APE960712.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu","Applied Economics Letters, 16(16), 1657-1663 (2009)",,,TRUE
43,Journal,2007,Enhanced SEA Algorithm and Fingerprint Classification Directional Image,Paper/IJCAT.pdf,"Limin Liu, C. Huang, Tian-Shyr Dai, G. Chen","International Journal of Computer Applications in Technology, 30(4), 295-302 (2007)",,,TRUE
44,Journal,2007,An Exact Subexponential-Time Lattice Algorithm for Asian Options,Paper/ActaInformatica951117.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu","Acta Informatica, 44(1), 23-39 (2007)",,,TRUE
45,Journal,2006,Ridge Orientation Estimation and Verification Algorithm for Fingerprint Enhancement,Paper/ROEVA.pdf,"Limin Liu, Tian-Shyr Dai","Journal of Universal Computer Science, 12 (2006), 1426-1438",,,TRUE
46,Journal,2005,Analytics for Geometric Average Trigger Reset Options,Paper/APE931024.pdf,"Tian-Shyr Dai, Yuh-Yuan Fang, Yuh-Dauh Lyuu","Applied Economics Letters, 12 (2005), 835-840",,,TRUE
47,Journal,2005,An Efficient Convergent Lattice Algorithm for European Asian Options,Paper/AMC930919.pdf,"Tian-Shyr Dai, Guan-Shieng Huang, Yuh-Dauh Lyuu","Applied Mathematics and Computation, 169(2), 1458-1471 (2005)",,,TRUE
48,Journal,2002,"Efficient, Exact Algorithms for Asian Options with Multiresolution Lattices",Paper/ReviewDRRevise20020429.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu","Review of Derivatives Research, 5 (2002), 181-203",,,TRUE
49,Conference,2023,Hunting for Short-term Bonds via Flexibility: the Call Policy from the Perspective of Debt Maturity Decision in the Corporate Bond Market,Paper/Hunting_for_Short_term_Bonds_via_Flexibility.pdf,"Liang-Chih Liu, Lei Zhou, Tian-Shyr Dai, Kevin Tseng",2023 Western Finance Association Meetings,,,TRUE
50,Conference,2004,An Exact Subexponential-Time Lattice Algorithm for Asian Options,Paper/SODA920914.pdf,"Tian-Shyr Dai, Yuh-Dauh Lyuu",Proceedings of ACM-SIAM Symposium on Discrete Algorithms (SODA04),,,TRUE
51,Book,2005,C++ and Quantitative Finance,https://www.google.com.tw/search?complete=1&hl=zh-TW&q=C%2B%2B%E8%B2%A1%E5%8B%99%E7%A8%8B%E5%BC%8F%E8%A8%AD%E8%A8%88,Tian-Shyr Dai,"Taiwan: Securities and Futures Institute, ISBN: 986-7737-51-2 (2005)",,,TRUE
